Player,90s,Gls,Ast,npxG,xAG,npxG+xAG,PrgC,CrsPA,Sh,SoT,G/Sh,G/SoT,Crs,Att,Succ,Succ%,Carries,Rec,PrgR,SCA,PassLive,PassDead,TO,Def,GCA
Che Adams,2.3,0,0,0.1,0.1,0.2,3,0,2,1,0.0,0.0,1,1,0,0.0,34,36,10,2,1,0,0,0,0
Yunus Akgün,0.8,0,0,0.0,0.1,0.1,3,0,0,0,0.0,0.0,3,4,1,25.0,20,22,5,3,2,1,0,0,0
Kerem Aktürkoğlu,1.2,1,0,1.4,0.1,1.5,7,0,6,2,0.17,0.5,3,8,3,37.5,33,34,11,5,3,0,1,0,0
Denis Alibec,0.3,0,0,0.3,0.0,0.3,0,0,1,0,0.0,0.0,0,0,0,0.0,6,8,2,0,0,0,0,0,0
Barış Alper Yılmaz,5.0,0,0,0.4,0.8,1.2,14,0,4,3,0.0,0.0,8,17,8,47.1,85,113,36,11,8,0,2,0,1
Zeki Amdouni,0.6,0,0,0.2,0.0,0.2,3,0,2,1,0.0,0.0,0,4,1,25.0,23,23,6,1,1,0,0,0,0
Marko Arnautović,3.1,1,0,0.9,0.0,0.9,1,0,3,2,0.0,0.0,2,1,1,100.0,47,52,16,4,4,0,0,0,0
Jasir Asani,2.3,0,1,0.1,0.4,0.5,4,2,4,1,0.0,0.0,4,8,2,25.0,44,41,9,6,4,0,0,0,1
Johan Bakayoko,0.5,0,0,0.6,0.1,0.7,0,0,3,0,0.0,0.0,0,0,0,0.0,16,17,1,2,2,0,0,0,0
Bradley Barcola,1.1,0,0,0.1,0.5,0.7,9,1,2,1,0.0,0.0,1,12,7,58.3,41,42,20,9,4,0,4,1,0
Maximilian Beier,0.3,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,100.0,4,7,3,0,0,0,0,0,0
Steven Bergwijn,1.0,0,0,0.0,0.0,0.0,7,0,1,0,0.0,0.0,2,4,2,50.0,41,44,4,2,1,0,1,0,0
Jarrod Bowen,0.4,0,0,0.0,0.2,0.2,1,1,0,0,0.0,0.0,3,2,0,0.0,11,13,3,1,1,0,0,0,0
Róbert Boženík,2.3,0,0,0.1,0.0,0.1,1,0,3,1,0.0,0.0,2,1,0,0.0,37,41,10,4,4,0,0,0,0
Armando Broja,1.2,0,0,0.2,0.1,0.3,2,0,2,2,0.0,0.0,0,7,3,42.9,19,25,4,6,4,0,0,0,0
Jacob Bruun Larsen,0.1,0,0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,1,0,0,0.0,7,7,4,0,0,0,0,0,0
Ante Budimir,1.4,0,1,0.5,1.2,1.7,1,0,5,3,0.0,0.0,1,2,1,50.0,12,22,5,5,2,0,1,0,2
Adam Buksa,1.7,1,0,0.2,0.2,0.3,1,0,3,1,0.33,1.0,0,2,0,0.0,13,19,6,3,3,0,0,0,0
Žan Celar,0.7,0,0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0,0,0,0.0,10,15,2,0,0,0,0,0,0
Václav Černý,0.6,0,0,0.5,0.1,0.6,1,1,2,1,0.0,0.0,5,1,1,100.0,22,23,2,5,4,0,1,0,0
Federico Chiesa,2.9,0,0,0.2,0.3,0.4,14,3,8,0,0.0,0.0,17,15,8,53.3,106,100,32,6,4,0,2,0,0
Tomáš Chorý,0.4,0,0,0.4,0.0,0.4,0,0,1,0,0.0,0.0,0,1,1,100.0,8,10,1,2,0,0,0,0,1
