,Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
0,1,Che Adams,FW,sct Scotland,27-360,1996,2.3,0,2,1,50.0,0.86,0.43,0.0,0.0,14.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
1,2,Michel Aebischer,DF,ch Switzerland,27-183,1997,5.3,1,2,1,50.0,0.38,0.19,0.5,1.0,21.7,0,0,0,0.1,0.1,0.07,0.9,0.9,Matches
2,3,Arlind Ajeti,DF,al Albania,30-286,1993,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
3,4,Manuel Akanji,DF,ch Switzerland,28-354,1995,5.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
4,5,Samet Akaydın,DF,tr Türkiye,30-116,1994,3.7,1,2,1,50.0,0.54,0.27,0.5,1.0,5.2,0,0,0,0.4,0.4,0.18,0.6,0.6,Matches
5,6,Nathan Aké,DF,nl Netherlands,29-140,1995,4.2,0,2,0,0.0,0.47,0.0,0.0,,10.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
6,7,Yunus Akgün,FW,tr Türkiye,24-000,2000,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
7,8,Kerem Aktürkoğlu,"FW,MF",tr Türkiye,25-260,1998,1.2,1,6,2,33.3,5.14,1.71,0.17,0.5,12.0,0,0,0,1.4,1.4,0.24,-0.4,-0.4,Matches
8,9,Trent Alexander-Arnold,"MF,DF",eng England,25-274,1998,1.5,0,4,1,25.0,2.69,0.67,0.0,0.0,28.6,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
9,10,Denis Alibec,FW,ro Romania,33-184,1991,0.3,0,1,0,0.0,3.1,0.0,0.0,,14.1,0,0,0,0.3,0.3,0.34,-0.3,-0.3,Matches
10,11,Barış Alper Yılmaz,FW,tr Türkiye,24-045,2000,5.0,0,4,3,75.0,0.8,0.6,0.0,0.0,15.5,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
11,12,Sandro Altunashvili,MF,ge Georgia,27-049,1997,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
12,13,Zeki Amdouni,"MF,FW",ch Switzerland,23-216,2000,0.6,0,2,1,50.0,3.16,1.58,0.0,0.0,13.5,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
13,14,Joachim Andersen,DF,dk Denmark,28-037,1996,4.0,0,3,0,0.0,0.75,0.0,0.0,,9.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
14,15,Robert Andrich,MF,de Germany,29-289,1994,3.5,0,7,2,28.6,1.98,0.57,0.0,0.0,21.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
15,16,Waldemar Anton,DF,de Germany,27-353,1996,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
16,17,Stuart Armstrong,MF,sct Scotland,32-099,1992,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
17,18,Marko Arnautović,FW,at Austria,35-079,1989,3.1,1,3,2,66.7,0.97,0.65,0.0,0.0,19.4,0,1,1,1.7,0.9,0.29,-0.7,-0.9,Matches
18,19,Jasir Asani,FW,al Albania,29-049,1995,2.3,0,4,1,25.0,1.71,0.43,0.0,0.0,25.7,0,0,0,0.1,0.1,0.01,-0.1,-0.1,Matches
19,20,Kristjan Asllani,MF,al Albania,22-120,2002,3.0,0,8,3,37.5,2.67,1.0,0.0,0.0,23.9,1,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
20,21,Kaan Ayhan,"MF,DF",tr Türkiye,29-240,1994,4.0,0,3,0,0.0,0.75,0.0,0.0,,15.6,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
21,22,Alex Baena,"MF,FW",es Spain,22-353,2001,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
22,23,Alexander Bah,"DF,MF",dk Denmark,26-211,1997,3.1,0,2,0,0.0,0.64,0.0,0.0,,14.4,0,0,0,0.4,0.4,0.19,-0.4,-0.4,Matches
23,24,Nedim Bajrami,"FW,MF",al Albania,25-130,1999,2.7,1,3,1,33.3,1.1,0.37,0.33,1.0,15.5,0,0,0,0.1,0.1,0.05,0.9,0.9,Matches
24,25,Johan Bakayoko,"FW,DF",be Belgium,21-078,2003,0.5,0,3,0,0.0,5.63,0.0,0.0,,16.0,0,0,0,0.6,0.6,0.22,-0.6,-0.6,Matches
26,26,Jure Balkovec,DF,si Slovenia,29-302,1994,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
27,27,Iván Balliu,DF,al Albania,32-188,1992,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
28,28,Nicușor Bancu,DF,ro Romania,31-293,1992,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
29,29,Antonín Barák,MF,cz Czechia,29-217,1994,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
30,30,Bradley Barcola,FW,fr France,21-309,2002,0.8,0,2,1,50.0,2.4,1.2,0.0,0.0,9.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
31,31,Abdülkerim Bardakcı,DF,tr Türkiye,29-304,1994,4.0,0,2,0,0.0,0.5,0.0,0.0,,8.9,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
32,32,Nicolò Barella,MF,it Italy,27-151,1997,3.7,1,1,1,100.0,0.27,0.27,1.0,1.0,21.7,0,0,0,0.1,0.1,0.09,0.9,0.9,Matches
33,33,Alessandro Bastoni,DF,it Italy,25-085,1999,4.0,1,3,2,66.7,0.75,0.5,0.33,0.5,6.4,0,0,0,0.5,0.5,0.17,0.5,0.5,Matches
34,34,Martin Baturina,FW,hr Croatia,21-142,2003,0.1,0,1,1,100.0,12.86,12.86,0.0,0.0,13.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
35,35,Christoph Baumgartner,"MF,FW",at Austria,24-341,1999,3.2,1,8,4,50.0,2.49,1.25,0.13,0.25,11.5,0,0,0,1.8,1.8,0.22,-0.8,-0.8,Matches
36,36,Altay Bayındır,GK,tr Türkiye,26-084,1998,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
37,37,Jan Bednarek,DF,pl Poland,28-086,1996,3.0,0,1,0,0.0,0.33,0.0,0.0,,11.5,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
38,38,Maximilian Beier,FW,de Germany,21-264,2002,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
39,39,Jude Bellingham,MF,eng England,21-008,2003,5.4,2,5,3,60.0,0.92,0.55,0.4,0.67,12.0,0,0,0,0.6,0.6,0.12,1.4,1.4,Matches
40,40,László Bénes,MF,sk Slovakia,26-302,1997,0.8,0,1,0,0.0,1.27,0.0,0.0,,16.3,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Matches
41,41,Bartosz Bereszyński,DF,pl Poland,31-361,1992,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
42,42,Steven Bergwijn,FW,nl Netherlands,26-273,1997,1.0,0,1,0,0.0,1.0,0.0,0.0,,31.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
43,43,Medon Berisha,MF,al Albania,20-260,2003,0.2,0,1,0,0.0,4.29,0.0,0.0,,26.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
44,44,Victor Bernth Kristiansen,"DF,MF",dk Denmark,21-204,2002,1.7,0,1,0,0.0,0.58,0.0,0.0,,20.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
45,45,Matúš Bero,"MF,DF",sk Slovakia,28-305,1995,0.5,0,1,0,0.0,2.2,0.0,0.0,,26.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
46,46,Jaka Bijol,DF,si Slovenia,25-153,1999,4.3,0,1,0,0.0,0.23,0.0,0.0,,7.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
47,47,Veljko Birmančević,DF,rs Serbia,26-124,1998,0.3,0,1,0,0.0,3.46,0.0,0.0,,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
48,48,Daley Blind,FW,nl Netherlands,34-120,1990,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
49,49,Bendegúz Bolla,DF,hu Hungary,24-228,1999,2.3,0,3,1,33.3,1.32,0.44,0.0,0.0,22.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
50,50,Endre Botka,DF,hu Hungary,29-317,1994,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
52,51,Jarrod Bowen,FW,eng England,27-200,1996,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
53,52,Róbert Boženík,FW,sk Slovakia,24-232,1999,2.3,0,3,1,33.3,1.3,0.43,0.0,0.0,17.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
54,53,Volodymyr Brazhko,MF,ua Ukraine,22-166,2002,2.0,0,2,1,50.0,0.99,0.49,0.0,0.0,30.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
55,54,David Brekalo,MF,si Slovenia,25-217,1998,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
56,55,Armando Broja,FW,al Albania,22-301,2001,1.2,0,2,2,100.0,1.67,1.67,0.0,0.0,13.8,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
57,56,Marcelo Brozović,MF,hr Croatia,31-234,1992,2.5,0,3,2,66.7,1.2,0.8,0.0,0.0,24.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
58,57,Jacob Bruun Larsen,FW,dk Denmark,25-292,1998,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
59,58,Ante Budimir,FW,hr Croatia,32-351,1991,1.4,0,5,3,60.0,3.69,2.21,0.0,0.0,9.3,0,0,0,0.8,0.5,0.1,-0.8,-0.5,Matches
60,59,Adam Buksa,FW,pl Poland,27-361,1996,1.7,1,3,1,33.3,1.81,0.6,0.33,1.0,12.8,0,0,0,0.2,0.2,0.05,0.8,0.8,Matches
61,60,Andrei Burcă,DF,ro Romania,31-083,1993,4.0,0,1,0,0.0,0.25,0.0,0.0,,9.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
62,61,Riccardo Calafiori,DF,it Italy,22-049,2002,3.0,0,3,0,0.0,1.0,0.0,0.0,,11.1,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
63,62,Hakan Çalhanoğlu,MF,tr Türkiye,30-150,1994,3.9,1,10,2,20.0,2.54,0.51,0.1,0.5,22.4,1,0,0,0.3,0.3,0.03,0.7,0.7,Matches
64,63,Eduardo Camavinga,MF,fr France,21-240,2002,1.6,0,2,0,0.0,1.29,0.0,0.0,,17.2,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
65,64,Andrea Cambiaso,"FW,DF",it Italy,24-138,2000,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
66,65,Emre Can,MF,de Germany,30-177,1994,1.1,1,1,1,100.0,0.88,0.88,1.0,1.0,23.3,0,0,0,0.0,0.0,0.04,1.0,1.0,Matches
67,66,João Cancelo,"DF,MF",pt Portugal,30-041,1994,3.8,0,2,0,0.0,0.52,0.0,0.0,,15.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
68,67,Yannick Carrasco,"DF,FW",be Belgium,30-307,1993,2.4,0,6,1,16.7,2.48,0.41,0.0,0.0,17.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
69,68,Dani Carvajal,DF,es Spain,32-178,1992,4.2,1,2,2,100.0,0.47,0.47,0.5,0.5,7.4,0,0,0,0.5,0.5,0.26,0.5,0.5,Matches
70,69,Timothy Castagne,DF,be Belgium,28-215,1995,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
71,70,Koen Casteels,GK,be Belgium,32-012,1992,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
72,71,Žan Celar,"FW,MF",si Slovenia,25-115,1999,0.7,0,1,0,0.0,1.34,0.0,0.0,,28.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
73,72,Zeki Çelik,"DF,MF",tr Türkiye,27-141,1997,1.2,0,1,0,0.0,0.86,0.0,0.0,,11.2,0,0,0,0.2,0.2,0.2,-0.2,-0.2,Matches
